equipment_id,cycle,runtime_hours,vib_mean,vib_std,vib_max,temp_mean,temp_std,curr_mean,health_score,alert_level
EQ001,10,25.0,0.3457,0.0259,0.3775,37.24,1.24,8.387,93.1,正常
EQ001,11,27.5,0.3564,0.0257,0.4041,37.78,1.16,8.421,91.5,正常
EQ001,12,30.0,0.364,0.0241,0.4041,38.19,0.99,8.462,90.9,正常
EQ001,13,32.5,0.3724,0.0223,0.4053,38.55,1.1,8.504,90.3,正常
EQ001,14,35.0,0.3816,0.022,0.4222,38.93,1.3,8.564,89.1,正常
EQ001,15,37.5,0.3884,0.0219,0.4222,39.4,1.42,8.591,88.5,正常
EQ001,16,40.0,0.3952,0.0247,0.4356,39.9,1.55,8.639,87.4,正常
EQ001,17,42.5,0.4034,0.0267,0.4465,40.41,1.58,8.657,86.4,正常
EQ001,18,45.0,0.4106,0.0261,0.4465,40.83,1.5,8.678,85.9,正常
EQ001,19,47.5,0.4221,0.0278,0.4779,41.27,1.37,8.704,84.3,正常
EQ001,20,50.0,0.4306,0.0258,0.4779,41.77,1.31,8.743,83.6,正常
EQ001,21,52.5,0.4385,0.0283,0.4823,42.16,1.31,8.771,83.0,正常
EQ001,22,55.0,0.4476,0.0268,0.4846,42.65,1.18,8.81,82.3,正常
EQ001,23,57.5,0.4566,0.0261,0.4949,43.13,1.19,8.842,81.3,正常
EQ001,24,60.0,0.4654,0.0278,0.5098,43.57,1.21,8.852,80.4,正常
EQ001,25,62.5,0.4746,0.0258,0.5102,43.95,1.21,8.884,79.8,正常
EQ001,26,65.0,0.483,0.0255,0.5202,44.38,1.4,8.918,78.9,正常
EQ001,27,67.5,0.4909,0.0253,0.5256,44.85,1.57,8.96,78.1,正常
EQ001,28,70.0,0.5025,0.0262,0.5567,45.36,1.52,8.999,76.3,正常
EQ001,29,72.5,0.5093,0.0278,0.5567,45.86,1.43,9.049,75.6,正常
EQ001,30,75.0,0.5184,0.0259,0.5567,46.29,1.4,9.07,75.2,正常
