sample_id,speed_rpm,feed_rate,depth_of_cut,coolant_temp,spindle_load,dimension_error,is_defect,material_removal_rate,mat_45#钢,mat_不锈钢,mat_铝合金,speed_rpm_z,feed_rate_z,depth_of_cut_z,coolant_temp_z,spindle_load_z,material_removal_rate_z
S0001,2135.9,0.356,2.48,26.7,44.4,0.1208,1,0.8829,1,0,0,1.42925,0.74424,0.51402,-1.2289,-1.17272,1.09121
S0002,2160.9,0.391,1.2,27.5,46.0,0.0352,0,0.4692,1,0,0,1.49488,1.08713,-0.88556,-1.13879,-1.08481,-0.25095
S0003,1461.5,0.202,2.52,26.2,52.5,0.042,0,0.509,0,0,1,-0.34106,-0.76452,0.55776,-1.28522,-0.72768,-0.12183
S0004,1568.5,0.307,0.65,40.2,45.2,0.1325,1,0.1996,1,0,0,-0.06018,0.26418,-1.48695,0.29181,-1.12876,-1.12561
S0005,1950.9,0.207,0.82,42.5,61.4,0.1247,1,0.1697,0,1,0,0.94362,-0.71553,-1.30107,0.55089,-0.2387,-1.22261
S0006,1761.3,0.209,2.22,38.4,46.1,0.0199,0,0.464,1,0,0,0.44592,-0.69594,0.22973,0.08905,-1.07932,-0.26782
S0007,2121.3,0.413,2.47,49.7,40.3,0.0894,1,1.0201,0,0,1,1.39093,1.30267,0.50308,1.36194,-1.39798,1.53633
S0008,1977.4,0.225,1.43,38.3,43.5,0.0155,0,0.3218,1,0,0,1.01319,-0.53918,-0.63408,0.07778,-1.22217,-0.72916
S0009,2183.0,0.37,1.16,22.2,83.9,0.0334,0,0.4292,1,0,0,1.55289,0.88139,-0.9293,-1.7358,0.99751,-0.38072
S0010,1366.0,0.141,3.35,40.7,54.9,0.0962,1,0.4724,1,0,0,-0.59174,-1.36214,1.4653,0.34813,-0.59582,-0.24057
S0011,1848.5,0.323,3.43,36.2,42.2,0.0254,0,1.1079,1,0,0,0.67482,0.42093,1.55277,-0.15877,-1.29359,1.82117
