sample_id,material,speed_rpm,feed_rate,depth_of_cut,coolant_temp,spindle_load,dimension_error,is_defect
S0001,45#钢,2135.9,0.356,2.48,26.7,44.4,0.1208,1
S0002,45#钢,2160.9,0.391,1.2,27.5,46.0,0.0352,0
S0003,铝合金,1461.5,0.202,2.52,26.2,52.5,0.042,0
S0004,45#钢,1568.5,0.307,0.65,40.2,45.2,0.1325,1
S0005,不锈钢,1950.9,0.207,0.82,42.5,61.4,0.1247,1
S0006,45#钢,1761.3,0.209,2.22,38.4,46.1,0.0199,0
S0007,铝合金,2121.3,0.413,2.47,49.7,40.3,0.0894,1
S0008,45#钢,1977.4,0.225,1.43,38.3,43.5,0.0155,0
S0009,45#钢,2183.0,0.37,1.16,22.2,83.9,0.0334,0
S0010,45#钢,1366.0,0.141,3.35,40.7,54.9,0.0962,1
S0011,45#钢,1848.5,0.323,3.43,36.2,42.2,0.0254,0
S0012,铝合金,1541.9,0.283,1.91,22.8,41.5,0.134,1
S0013,45#钢,1561.1,0.418,1.32,34.3,80.3,0.0697,1
S0014,不锈钢,1950.6,0.322,3.38,46.1,46.2,0.0136,0
S0015,铝合金,1949.7,0.414,1.55,25.3,48.7,0.0244,0
S0016,45#钢,1564.0,0.246,1.23,25.6,55.3,0.0239,0
S0017,45#钢,1574.4,0.346,1.7,51.2,92.7,0.054,1
S0018,45#钢,1692.4,0.276,0.67,30.4,89.5,0.0712,1
S0019,45#钢,2181.3,0.185,2.72,44.8,49.3,0.041,0
S0020,铝合金,1596.5,0.132,3.26,31.6,46.2,0.0862,1
S0021,铝合金,921.6,0.279,1.25,41.4,45.5,0.0293,0
S0022,45#钢,1343.4,0.14,3.55,48.3,50.5,0.0176,0
S0023,不锈钢,1621.8,0.285,1.3,24.8,88.8,0.0016,0
S0024,45#钢,1843.7,0.414,3.43,45.4,73.5,0.0908,1
S0025,不锈钢,1688.4,0.103,0.83,41.9,35.3,0.1401,1
S0026,45#钢,1825.8,0.183,1.57,44.4,74.0,0.0271,0
S0027,铝合金,1638.8,0.133,1.71,30.0,49.6,0.0332,0
S0028,铝合金,1933.3,0.276,2.4,36.8,46.7,0.0164,0
S0029,45#钢,931.6,0.326,1.08,50.2,92.2,0.0181,0
S0030,不锈钢,2152.7,0.399,1.47,33.6,86.1,0.0847,1
S0031,铝合金,2117.0,0.344,2.38,24.9,71.9,0.0209,0
S0032,不锈钢,1863.0,0.344,2.82,32.8,52.6,0.0029,0
S0033,不锈钢,2027.2,0.42,2.19,37.0,82.9,0.0343,0
S0034,不锈钢,1339.4,0.231,0.81,39.3,37.2,0.0298,0
S0035,铝合金,1272.5,0.307,0.6,23.1,84.4,0.021,0
S0036,铝合金,1180.6,0.318,0.78,23.6,66.9,0.0038,0
S0037,铝合金,1843.9,0.442,2.2,31.7,82.7,0.0501,1
S0038,不锈钢,1986.8,0.344,1.85,27.2,44.4,0.0183,0
S0039,铝合金,1829.0,0.331,1.42,50.6,79.3,0.0001,0
S0040,45#钢,1362.8,0.365,0.55,25.5,37.8,0.1561,1
S0041,铝合金,1516.4,0.134,2.12,36.2,45.4,0.0445,0
S0042,铝合金,958.9,0.231,2.57,37.1,86.4,0.0015,0
S0043,45#钢,991.7,0.325,0.59,39.6,91.4,0.0438,0
S0044,45#钢,1609.3,0.43,1.77,50.8,89.3,0.047,1
S0045,45#钢,923.7,0.133,2.75,24.1,54.1,0.0107,0
S0046,铝合金,1717.6,0.407,2.93,46.1,51.9,0.1147,1
S0047,不锈钢,2187.7,0.244,1.73,45.3,55.4,0.0167,0
S0048,铝合金,1880.9,0.136,3.48,37.2,84.6,0.1481,1
S0049,45#钢,914.1,0.417,0.8,31.6,92.0,0.0487,0
S0050,45#钢,1281.2,0.215,2.72,44.6,82.5,0.036,0
S0051,45#钢,1542.7,0.12,2.31,35.2,88.3,0.0292,0
S0052,45#钢,1009.3,0.345,0.74,46.7,77.4,0.0872,1
S0053,不锈钢,1386.6,0.23,3.18,50.4,94.2,0.1114,1
S0054,铝合金,1451.5,0.417,0.87,36.8,35.7,0.0168,0
S0055,45#钢,1054.5,0.141,2.64,44.4,70.0,0.0017,0
S0056,不锈钢,1190.7,0.437,0.54,51.1,37.6,0.0073,0
S0057,铝合金,2190.9,0.126,2.33,51.1,66.4,0.0135,0
S0058,铝合金,1659.6,0.415,0.65,30.4,92.0,0.0479,0
S0059,45#钢,1706.2,0.197,1.12,35.9,56.2,0.0087,0
S0060,不锈钢,1790.2,0.157,3.51,46.7,92.0,0.1145,1
S0061,45#钢,2112.5,0.403,0.65,22.8,57.6,0.0057,0
S0062,不锈钢,1994.8,0.393,2.05,34.4,51.4,0.1495,1
S0063,不锈钢,2199.6,0.449,2.33,45.1,91.7,0.0153,0
S0064,45#钢,2140.3,0.312,1.25,42.2,72.1,0.0451,1
S0065,铝合金,1576.4,0.37,2.22,47.6,68.1,0.0163,0
S0066,45#钢,937.4,0.364,2.55,43.1,47.8,0.0757,1
S0067,45#钢,1666.9,0.237,1.94,49.1,55.9,0.0127,0
S0068,铝合金,2021.1,0.432,0.99,49.8,64.5,0.1167,1
