equipment_id,cycle,vibration_rms,temperature,current,runtime_hours
EQ001,1,0.2971,34.64,8.279,2.5
EQ001,2,0.3169,35.46,8.282,5.0
EQ001,3,0.3211,36.9,8.291,7.5
EQ001,4,0.3304,37.48,8.226,10.0
EQ001,5,0.3508,37.18,8.416,12.5
EQ001,6,0.3672,37.52,8.289,15.0
EQ001,7,0.3643,37.68,8.547,17.5
EQ001,8,0.3692,38.24,8.439,20.0
EQ001,9,0.3625,38.45,8.557,22.5
EQ001,10,0.3775,38.86,8.542,25.0
EQ001,11,0.4041,40.01,8.616,27.5
EQ001,12,0.3928,39.6,8.694,30.0
EQ001,13,0.4053,40.51,8.717,32.5
EQ001,14,0.4222,41.24,8.822,35.0
EQ001,15,0.4184,41.87,8.691,37.5
EQ001,16,0.4356,42.55,8.764,40.0
EQ001,17,0.4465,42.81,8.732,42.5
EQ001,18,0.4409,42.41,8.641,45.0
EQ001,19,0.4779,42.83,8.818,47.5
EQ001,20,0.4628,43.84,8.939,50.0
EQ001,21,0.4823,43.93,8.897,52.5
EQ001,22,0.4846,44.51,9.077,55.0
EQ001,23,0.4949,45.34,9.039,57.5
EQ001,24,0.5098,45.57,8.919,60.0
EQ001,25,0.5102,45.68,9.018,62.5
EQ001,26,0.5202,46.88,9.1,65.0
EQ001,27,0.5256,47.51,9.155,67.5
EQ001,28,0.5567,47.5,9.032,70.0
EQ001,29,0.5463,47.87,9.314,72.5
EQ001,30,0.5537,48.1,9.15,75.0
EQ001,31,0.553,48.26,9.239,77.5
EQ001,32,0.5691,49.71,9.354,80.0
EQ001,33,0.5594,49.67,9.456,82.5
EQ001,34,0.5734,49.88,9.399,85.0
EQ001,35,0.5798,50.64,9.425,87.5
EQ001,36,0.6,50.47,9.438,90.0
EQ001,37,0.6112,51.12,9.648,92.5
EQ001,38,0.6081,51.8,9.622,95.0
EQ001,39,0.606,51.45,9.463,97.5
EQ001,40,0.641,52.38,9.827,100.0
EQ001,41,0.6309,53.11,9.783,102.5
EQ001,42,0.6647,54.31,9.794,105.0
EQ001,43,0.663,54.17,9.797,107.5
EQ001,44,0.6554,54.04,9.772,110.0
EQ001,45,0.6674,54.63,9.865,112.5
EQ001,46,0.6868,55.3,9.965,115.0
EQ001,47,0.6739,55.63,9.827,117.5
EQ001,48,0.6748,56.11,9.912,120.0
EQ001,49,0.7168,56.84,9.877,122.5
EQ001,50,0.7283,57.52,10.043,125.0
EQ001,51,0.7156,57.1,10.005,127.5
EQ001,52,0.7369,58.68,10.195,130.0
EQ001,53,0.7293,57.92,10.12,132.5
EQ001,54,0.7246,58.94,10.135,135.0
EQ001,55,0.7458,58.62,10.225,137.5
EQ001,56,0.7533,59.23,9.992,140.0
EQ001,57,0.7665,60.85,10.392,142.5
EQ001,58,0.7703,60.35,10.334,145.0
EQ001,59,0.7731,61.15,10.395,147.5
EQ001,60,0.8034,61.43,10.355,150.0
EQ001,61,0.7905,61.59,10.391,152.5
EQ001,62,0.8111,62.73,10.382,155.0
EQ001,63,0.8305,62.7,10.482,157.5
EQ001,64,0.8163,62.28,10.592,160.0
EQ001,65,0.8393,63.58,10.564,162.5
